transaction_id,customer_id,timestamp,transaction_type,amount,fraud_flag,hour_of_day,day_of_week,is_weekend
TradeID,TradeDate,,Symbol,,,,Customer,
1001,1/1/2021Crypto,,Buy,447.0,520.45,413279.0,232641.15,405.22
1002,1/4/2021Derivative,,Buy,994.0,954.28,413280.0,948554.32,2701.85
1003,1/5/2021FX,,Sell,308.0,2316.86,413281.0,713592.88,717.11
1004,1/6/2021Derivative,,Buy,249.0,1806.78,413282.0,449888.22,1526.61
1005,1/7/2021Derivative,,Buy,166.0,129.76,413283.0,21540.16,73.87
1006,1/8/2021Bond,,Sell,481.0,1955.97,413284.0,940821.57,1872.39
1007,1/11/2021FX,,Buy,984.0,2071.57,413285.0,2038424.88,6591.55
1008,1/12/2021FX,,Buy,335.0,1878.75,413286.0,629381.25,1197.18
1009,1/13/2021FX,,Buy,542.0,2000.85,413287.0,1084460.7,1782.1
1010,1/14/2021Derivative,,Buy,759.0,2064.58,413288.0,1567016.22,5650.78
1011,1/15/2021Crypto,,Sell,106.0,474.15,413289.0,50259.9,115.78
1012,1/18/2021FX,,Sell,563.0,596.87,413290.0,336037.81,1129.44
1013,1/19/2021Derivative,,Buy,81.0,1588.06,413291.0,128632.86,351.55
1014,1/20/2021Bond,,Sell,133.0,2270.59,413292.0,301988.47,1491.04
1015,1/21/2021Crypto,,Buy,797.0,797.33,413293.0,635472.01,1015.69
1016,1/22/2021Bond,,Sell,900.0,1474.88,413294.0,1327392,3794.21
1017,1/25/2021Crypto,,Buy,138.0,1710.63,413295.0,236066.94,878.6
1018,1/26/2021Derivative,,Buy,184.0,1135.35,413296.0,208904.4,539.43
1019,1/27/2021Stock,,Buy,401.0,1787.32,413297.0,716715.32,3511.04
1020,1/28/2021Crypto,,Buy,330.0,2250.17,413298.0,742556.1,2886.72
1021,1/29/2021Bond,,Buy,785.0,1564.01,413299.0,1227747.85,4454.19
1022,2/1/2021Derivative,,Buy,508.0,1354.05,413300.0,687857.4,2770.85
1023,2/2/2021Crypto,,Sell,852.0,1102.47,413301.0,939304.44,4518.61
1024,2/3/2021Stock,,Buy,984.0,1447.94,413302.0,1424772.96,6598.51
1025,2/4/2021Stock,,Sell,69.0,894.85,413303.0,61744.65,240.63
1026,2/5/2021FX,,Buy,546.0,984.79,413304.0,537695.34,2148.98
1027,2/8/2021FX,,Sell,774.0,1334.33,413305.0,1032771.42,1635.59
1028,2/9/2021Bond,,Sell,53.0,175.88,413306.0,9321.64,13.15
1029,2/10/2021Crypto,,Sell,450.0,580.27,413307.0,261121.5,857.42
1030,2/11/2021Crypto,,Buy,205.0,1361.69,413308.0,279146.45,299.66
1031,2/12/2021FX,,Buy,126.0,1084.51,413309.0,136648.26,400.3
1032,2/15/2021Crypto,,Sell,747.0,838.71,413310.0,626516.37,1153.67
